Country_Code,Country_Name
8,Albania
12,Algeria
32,Argentina
50,Bangladesh
70,Bosnia Herzegovina
124,Canada
152,Chile
156,China
356,India
360,Indonesia
364,Iran
368,Iraq
376,Israel
392,Japan
400,Jordan
410,South Korea
417,Kyrgyzstan
484,Mexico
498,Moldova
504,Morocco
566,Nigeria
586,Pakistan
604,Peru
608,Philippines
630,Puerto Rico
682,Saudi Arabia
702,Singapore
704,Vietnam
710,South Africa
716,Zimbabwe
724,Spain
752,Sweden
792,Turkey
800,Uganda
807,Macedonia
818,Egypt
834,Tanzania
840,United States
862,Venezuela
911,Serbia
912,Montenegro
